Review_Text,Sentiment
Its really nice place to stay especially for business and tourist purpose.,3
"It seems that hotel does not check the basic amenities in the room, before handing over the room to the traveller. The phone in my room was not working and it created a problem for me, as after a hectic day of travel you would like to relax and work at your own pace. So they sent the technician who kept on looking for the fix for about an hour and then i had to get my room changed.",1
Worst hotel I have ever encountered. I will never think to stay in thiis hotel in the future,1
"Had a good time in this hotel and the staff Kumar,aishwarya, and the house keeping guy not sure what his name these people make my stay pleasant and happy for 5 days. For sure I will be back to this place to stay in chennai.Good job guys",3
good hotel and staff Veg food good non veg breakfast needs improvement,3
Great hotel. The staff if welcoming. Helpful. Always there for you.,3
"The hotel is mostly clean, but bathrooms need some care, our first bathroom had no hot water, the second one, took a very long time to drain off the tub. Plus painting and caulking were peeling off the wall.
On the plus point, great restaurants and excellent customer service.",3
"Awesome hotel with all needed amenities and luxury, friendly staff, great food",3
"Very nice 
Comfortable",3
The staff of the hotel were polite. The brick oven chefs were extremely helpful and all the meals were very good. The room was as advertised and clean. My stay of 2 days was very comfortable and I would recommend this hotel to others.,3
"Overall a pleasant stay.
Veg restaurant was the best experience @ decent price.",3
"I was on my business trip & my stay was for two days, I found perfect hotel with excellent cleanliness and location is also perfect, nice. In all, it is value for money hotel. Suggest to offer at least breakfast included in that offer in case of single occupancy. For double occupancy it is a great deal.",3
"Location : In T Nagar. Very close to the shopping hub and also a few cult South Indian restaurants like Saravana and Murugan. Room : Spacious, Well-lit and clean rooms. Staff : Courteous staff with a simple 2 mins check-in process.",3
Very good stay. Nice location. Suggest to offer breakfast included in that offer. Also check to offer for complimentary pick up and drop to airport. These things add value to offer and certainly increased business. All the best. Will certainly recommend to stay at this hotel.,3
Its value for money. Its a pleasant experience. They have to improve the reception. Otherwise nothing bad about the hotel. Breakfast is super and the staff are very courteous. I like to stay again. We enjoyed this pleasant stay.,3
"Cannot think of any negative for this hotel. Right from check in to check out, it was all smooth and an experience to remember. One for one offer for residents at Zodiac made it better. Located in the heart of the shopping district and easily accessible by all modes. Some of the staff had difficulty understanding English, rest all was good.",3
Table and chair not clean. Not value for money. PC lan cable has so much dust but WiFi Internet speed is too good. Bar service is too bad only one waiter serving to all customer. Serving food like tandoori chicken is very salty.,2
Good experience and good hotel to stay. I recommend my friend to stay at accord. Location is good and the service was also good. I have rated 5 star for this hotel. Continue the same service you will be the topper.,3
The overall experience of the hotel was good. I had visited this hotel with my family. The appearance of the hotel was good. The check in and checkout was on time in the hotel. The service was good in the hotel. The room was spacious and clean. All the amenities were provided in the room. The food was good in the hotel. The complimentary breakfast was provided in the hotel.,3
I am taking this hotel as 4 stars since the rooms are so small and we can't place our luggages in a suitable place. Japanese restaurant was not good. Food are so small quantity. Not worth the money.,3
Neat and clean good service very good location good service by house keeping etc,3
The Hotel is centrally located in T Nagar area and also it is a luxury hotel with good rooms and staff is very courteous too. The food at the restaurant is the best thing about this hotel as they have a lot of options to eat. The food taste and quality is very good.,3
"You could stay there, it's a nice place. The hotel is good, the location is good, food is excellent. Well built and cleanliness level is above 100. Overall, it was a good experience, you'll find it worth the money spent. Thanks!",3
I had visited this hotel for official purpose. All facility was provided in the room. Everything was fine at the hotel.,3
"Nice Hotel with good amenities. Nice Room with facilities, good Service and decent Breakfast spread, Value for Money! Situated at the prime place, easy connectivity and easy to locate. Good for families, groups and Business purpose. It was a comfortable stay!",3
This is a very good hotel in the heart of the city and offers good value for money. I book this most of the times when I travel to Chennai. The staff is very courteous and they do everything to make your stay awesome. The restaurant options are also many and you are spoilt for choice. There is also a lounge on the terrace which offers a great view of the city,3
We had a pleasant stay there. The staff were very friendly. Don't rent a cab from them as they charge lot more than other regular service providers.,3
"The service is good ,the also provide free Wi-Fi internet connection ,the breakfast is ok but need to do some improvement .",3
"Close to shopping, nice restaurants, good breakfast.",3
Excellent staff.very friendly&helpful.however timetaken to resond was poor.breakfast menu could be better.daily toiletry &towel replenishment insufficient.but overal stay was pleasant.,3
"Facilities: Nice ; Value: Fantastic; Service: Professional; Cleanliness: Pleasant; 
There's three restaurant inside this hotel so there is plenty of variety",3
Perhaps they were making most of Chennai being almost Sold-out during my stay duration but asking for 5k without even basic facilities like complementary bottled water... Wow!!,2
"stayed with my wife in January, 2016. Very happy experience.",3
